full_name,rating,jersey,team,position,b_day,height,weight,salary,bestsalary,country,draft_year,draft_round,draft_peak,college
Cory Joseph,74,#9,Sacramento Kings,G,08/20/91,6-3 / 1.91,185 lbs. / 83.9 kg.,"$12,000,000",12.00,Canada,2011,1,29,Texas
Maxi Kleber,74,#42,Dallas Mavericks,F-C,01/29/92,6-10 / 2.08,211 lbs. / 95.7 kg.,"$8,000,000",8.00,Germany,2014,Undrafted,Undrafted,
TJ Leaf,74,#22,Indiana Pacers,F-C,04/30/97,6-10 / 2.08,222 lbs. / 100.7 kg.,"$2,813,280",2.81,Israel,2017,1,18,UCLA
Doug McDermott,74,#20,Indiana Pacers,F,01/03/92,6-7 / 2.01,218 lbs. / 98.9 kg.,"$7,333,333",7.33,USA,2014,1,11,Creighton
E'Twaun Moore,74,#55,New Orleans Pelicans,G,02/25/89,6-3 / 1.91,191 lbs. / 86.6 kg.,"$8,664,928",8.66,USA,2011,2,55,Purdue
Joakim Noah,74,#0,Los Angeles Clippers,C,02/25/85,6-11 / 2.11,227 lbs. / 103 kg.,"$6,813,026",6.81,USA,2007,1,9,Florida
Kyle O'Quinn,74,#9,Philadelphia 76ers,F-C,03/26/90,6-9 / 2.06,240 lbs. / 108.9 kg.,"$2,174,318",2.17,USA,2012,2,49,Norfolk State
Chandler Parsons,74,#0,,F,10/25/88,6-9 / 2.06,200 lbs. / 90.7 kg.,"$25,102,512",25.10,USA,2011,2,38,Florida
Norman Powell,74,#24,Toronto Raptors,G,05/25/93,6-3 / 1.91,215 lbs. / 97.5 kg.,"$10,116,576",10.12,USA,2015,2,46,UCLA
Ivan Rabb,74,#0,,F-C,02/04/97,6-10 / 2.08,220 lbs. / 99.8 kg.,"$451,326",0.45,USA,2017,2,35,California
Glenn Robinson III,74,#22,Golden State Warriors,F,01/08/94,6-6 / 1.98,211 lbs. / 95.7 kg.,"$1,882,867",1.88,USA,2014,2,40,Michigan
Denzel Valentine,74,#45,Chicago Bulls,G,11/16/93,6-4 / 1.93,210 lbs. / 95.3 kg.,"$3,377,568",3.38,USA,2016,1,14,Michigan State
Robert Williams,74,#44,Boston Celtics,F-C,10/17/97,6-8 / 2.03,237 lbs. / 107.5 kg.,"$1,937,520",1.94,USA,2018,1,27,Texas A&M
Christian Wood,74,#35,Detroit Pistons,F,09/27/95,6-10 / 2.08,216 lbs. / 98 kg.,"$1,645,357",1.65,USA,2015,Undrafted,Undrafted,UNLV
Jaxson Hayes,74,#10,New Orleans Pelicans,F-C,05/23/00,6-11 / 2.11,220 lbs. / 99.8 kg.,"$4,862,040",4.86,USA,2019,1,8,Texas
Rui Hachimura,74,#8,Washington Wizards,F,02/08/98,6-8 / 2.03,225 lbs. / 102.1 kg.,"$4,469,160",4.47,Japan,2019,1,9,Gonzaga
OG Anunoby,73,#3,Toronto Raptors,F-G,07/17/97,6-7 / 2.01,232 lbs. / 105.2 kg.,"$2,281,800",2.28,United Kingdom,2017,1,23,Indiana
Dwayne Bacon,73,#7,Charlotte Hornets,G,08/30/95,6-6 / 1.98,220 lbs. / 99.8 kg.,"$1,618,520",1.62,USA,2017,2,40,Florida State
DeAndre Bembry,73,#95,Atlanta Hawks,F,07/04/94,6-5 / 1.96,207 lbs. / 93.9 kg.,"$2,603,981",2.60,USA,2016,1,21,Saint Joseph's
Jonah Bolden,73,#0,Phoenix Suns,F,01/02/96,6-8 / 2.03,215 lbs. / 97.5 kg.,"$1,788,296",1.79,Australia,2017,2,36,UCLA
Sterling Brown,73,#23,Milwaukee Bucks,G,02/10/95,6-5 / 1.96,230 lbs. / 104.3 kg.,"$1,618,520",1.62,USA,2017,2,46,SMU
Bruce Brown,73,#6,Detroit Pistons,G,08/15/96,6-4 / 1.93,190 lbs. / 86.2 kg.,"$1,416,852",1.42,USA,2018,2,42,Miami (Florida)
Troy Brown,73,#6,Washington Wizards,F-G,07/28/99,6-6 / 1.98,215 lbs. / 97.5 kg.,"$3,219,480",3.22,USA,2018,1,15,Oregon
Alec Burks,73,#0,Philadelphia 76ers,G,07/20/91,6-6 / 1.98,195 lbs. / 88.5 kg.,"$2,320,044",2.32,USA,2011,1,12,Colorado
Alex Caruso,73,#4,Los Angeles Lakers,G,02/28/94,6-5 / 1.96,186 lbs. / 84.4 kg.,"$2,750,000",2.75,USA,2016,Undrafted,Undrafted,Texas A&M
Tyson Chandler,73,#19,Houston Rockets,C,10/02/82,7-0 / 2.13,235 lbs. / 106.6 kg.,"$2,564,753",2.56,USA,2001,1,2,
Allen Crabbe,73,#0,,G-F,04/09/92,6-5 / 1.96,197 lbs. / 89.4 kg.,"$17,818,456",17.82,USA,2013,2,31,California
Matthew Dellavedova,73,#18,Cleveland Cavaliers,G,09/08/90,6-3 / 1.91,190 lbs. / 86.2 kg.,"$9,607,500",9.61,Australia,2013,Undrafted,Undrafted,Saint Mary's
James Ennis,73,#0,Orlando Magic,F,07/01/90,6-6 / 1.98,201 lbs. / 91.2 kg.,"$1,882,867",1.88,USA,2013,2,50,Long Beach State
Dorian Finney-Smith,73,#10,Dallas Mavericks,F,05/04/93,6-7 / 2.01,213 lbs. / 96.6 kg.,"$4,000,000",4.00,USA,2016,Undrafted,Undrafted,Florida
Shaquille Harrison,73,#3,Chicago Bulls,G,10/06/93,6-7 / 2.01,190 lbs. / 86.2 kg.,"$1,620,564",1.62,USA,2016,Undrafted,Undrafted,Tulsa
Aaron Holiday,73,#3,Indiana Pacers,G,09/30/96,6-0 / 1.83,185 lbs. / 83.9 kg.,"$2,239,200",2.24,USA,2018,1,23,UCLA
Danuel House,73,#4,Houston Rockets,F,06/07/93,6-6 / 1.98,220 lbs. / 99.8 kg.,"$3,540,000",3.54,USA,2016,Undrafted,Undrafted,Texas A&M
Stanley Johnson,73,#5,Toronto Raptors,F,05/29/96,6-6 / 1.98,242 lbs. / 109.8 kg.,"$3,623,000",3.62,USA,2015,1,8,Arizona
Tyus Jones,73,#21,Memphis Grizzlies,G,05/10/96,6-0 / 1.83,185 lbs. / 83.9 kg.,"$10,116,000",10.12,USA,2015,1,24,Duke
Furkan Korkmaz,73,#30,Philadelphia 76ers,F,06/27/97,6-7 / 2.01,185 lbs. / 83.9 kg.,"$1,620,564",1.62,Turkey,2016,1,26,
Ian Mahinmi,73,#28,Washington Wizards,C,11/05/86,6-11 / 2.11,230 lbs. / 104.3 kg.,"$15,450,051",15.45,France,2005,1,28,
CJ Miles,73,#0,,G-F,03/18/87,6-6 / 1.98,232 lbs. / 105.2 kg.,"$8,730,158",8.73,USA,2005,2,34,
Mike Muscala,73,#33,Oklahoma City Thunder,F-C,07/01/91,6-10 / 2.08,230 lbs. / 104.3 kg.,"$2,028,594",2.03,USA,2013,2,44,Bucknell
Frank Ntilikina,73,#11,New York Knicks,G,07/28/98,6-4 / 1.93,190 lbs. / 86.2 kg.,"$4,855,800",4.86,France,2017,1,8,
David Nwaba,73,#0,Houston Rockets,G,01/14/93,6-5 / 1.96,210 lbs. / 95.3 kg.,"$2,581,965",2.58,USA,2016,Undrafted,Undrafted,Cal Poly
Royce O'Neale,73,#23,Utah Jazz,F,06/05/93,6-4 / 1.93,226 lbs. / 102.5 kg.,"$1,618,520",1.62,USA,2015,Undrafted,Undrafted,Baylor
Semi Ojeleye,73,#37,Boston Celtics,F,12/05/94,6-6 / 1.98,235 lbs. / 106.6 kg.,"$1,618,520",1.62,USA,2017,2,37,SMU
Josh Okogie,73,#20,Minnesota Timberwolves,G,09/01/98,6-4 / 1.93,213 lbs. / 96.6 kg.,"$2,530,680",2.53,Nigeria,2018,1,20,Georgia Tech
Jonathon Simmons,73,#0,,G-F,09/14/89,6-6 / 1.98,195 lbs. / 88.5 kg.,"$1,000,000",1.00,USA,2012,Undrafted,Undrafted,Houston
Ishmael Smith,73,#14,Washington Wizards,G,07/05/88,6-0 / 1.83,175 lbs. / 79.4 kg.,"$6,000,000",6.00,USA,2010,Undrafted,Undrafted,Wake Forest
Tony Snell,73,#17,Detroit Pistons,F,11/10/91,6-6 / 1.98,198 lbs. / 89.8 kg.,"$11,392,857",11.39,USA,2013,1,20,New Mexico
Omari Spellman,73,#0,Minnesota Timberwolves,F,07/21/97,6-8 / 2.03,245 lbs. / 111.1 kg.,"$1,897,800",1.90,USA,2018,1,30,Villanova
Garrett Temple,73,#17,Brooklyn Nets,G-F,05/08/86,6-5 / 1.96,195 lbs. / 88.5 kg.,"$4,767,000",4.77,USA,2009,Undrafted,Undrafted,LSU
Evan Turner,73,#1,Minnesota Timberwolves,G-F,10/27/88,6-6 / 1.98,205 lbs. / 93 kg.,"$18,606,556",18.61,USA,2010,1,2,Ohio State
Lonnie Walker,73,#1,San Antonio Spurs,G,12/14/98,6-5 / 1.96,204 lbs. / 92.5 kg.,"$2,764,200",2.76,USA,2018,1,18,Miami (Florida)
Brad Wanamaker,73,#9,Boston Celtics,G,07/25/89,6-3 / 1.91,210 lbs. / 95.3 kg.,"$1,445,697",1.45,USA,2011,Undrafted,Undrafted,Pittsburgh
Ante Zizic,73,#41,Cleveland Cavaliers,C,01/04/97,6-10 / 2.08,250 lbs. / 113.4 kg.,"$2,281,800",2.28,Croatia,2016,1,23,
Tyler Herro,73,#14,Miami Heat,G,01/20/00,6-5 / 1.96,195 lbs. / 88.5 kg.,"$3,640,200",3.64,USA,2019,1,13,Kentucky
Vincent Poirier,73,#77,Boston Celtics,C,10/17/93,7-0 / 2.13,235 lbs. / 106.6 kg.,"$2,505,793",2.51,France,2015,Undrafted,Undrafted,
Sekou Doumbouya,73,#45,Detroit Pistons,F,12/23/00,6-8 / 2.03,209 lbs. / 94.8 kg.,"$3,285,120",3.29,France,2019,1,15,
Brandon Clarke,73,#15,Memphis Grizzlies,F,09/19/96,6-8 / 2.03,215 lbs. / 97.5 kg.,"$2,478,840",2.48,Canada,2019,1,21,Gonzaga
Nicolo Melli,73,#20,New Orleans Pelicans,F,01/26/91,6-9 / 2.06,236 lbs. / 107 kg.,"$4,102,564",4.10,Italy,2013,Undrafted,Undrafted,
Nassir Little,73,#9,Portland Trail Blazers,F,02/11/00,6-5 / 1.96,220 lbs. / 99.8 kg.,"$2,105,520",2.11,USA,2019,1,25,North Carolina
Grayson Allen,72,#3,Memphis Grizzlies,G,10/08/95,6-4 / 1.93,205 lbs. / 93 kg.,"$2,429,400",2.43,USA,2018,1,21,Duke
Antonio Blakeney,72,#0,,G-F,10/04/96,6-4 / 1.93,197 lbs. / 89.4 kg.,"$1,488,231",1.49,USA,2017,Undrafted,Undrafted,LSU
Michael Carter-Williams,72,#7,Orlando Magic,G,10/10/91,6-5 / 1.96,184 lbs. / 83.5 kg.,"$2,028,594",2.03,USA,2013,1,11,Syracuse
Troy Daniels,72,#30,Denver Nuggets,G,07/15/91,6-4 / 1.93,200 lbs. / 90.7 kg.,"$2,487,033",2.49,USA,2013,Undrafted,Undrafted,VCU
Donte DiVincenzo,72,#0,Milwaukee Bucks,G,01/31/97,6-4 / 1.93,205 lbs. / 93 kg.,"$2,905,800",2.91,USA,2018,1,17,Villanova
Jared Dudley,72,#10,Los Angeles Lakers,F,07/10/85,6-6 / 1.98,225 lbs. / 102.1 kg.,"$2,564,753",2.56,USA,2007,1,22,Boston College
Cristiano Felicio,72,#6,Chicago Bulls,F,07/07/92,6-10 / 2.08,270 lbs. / 122.5 kg.,"$8,156,500",8.16,Brazil,2014,Undrafted,Undrafted,
Tim Frazier,72,#0,,G,11/01/90,6-0 / 1.83,170 lbs. / 77.1 kg.,"$1,620,564",1.62,USA,2014,Undrafted,Undrafted,Penn State
Langston Galloway,72,#9,Detroit Pistons,G,12/09/91,6-1 / 1.85,202 lbs. / 91.6 kg.,"$7,333,333",7.33,USA,2014,Undrafted,Undrafted,Saint Joseph's
Justin Holiday,72,#8,Indiana Pacers,G,04/05/89,6-6 / 1.98,180 lbs. / 81.6 kg.,"$4,767,000",4.77,USA,2011,Undrafted,Undrafted,Washington
Chandler Hutchison,72,#15,Chicago Bulls,F,04/26/96,6-7 / 2.01,196 lbs. / 88.9 kg.,"$2,332,320",2.33,USA,2018,1,22,Boise State
Wesley Iwundu,72,#25,Orlando Magic,F,12/20/94,6-6 / 1.98,205 lbs. / 93 kg.,"$1,618,520",1.62,USA,2017,2,33,Kansas State
Brandon Knight,72,#0,Detroit Pistons,G,12/02/91,6-2 / 1.88,189 lbs. / 85.7 kg.,"$15,643,750",15.64,USA,2011,1,8,Kentucky
Courtney Lee,72,#1,Dallas Mavericks,G-F,10/03/85,6-5 / 1.96,200 lbs. / 90.7 kg.,"$12,759,670",12.76,USA,2008,1,22,Western Kentucky
Thon Maker,72,#7,Detroit Pistons,F-C,02/25/97,7-0 / 2.13,216 lbs. / 98 kg.,"$3,569,643",3.57,Australia,2016,1,10,
Patrick McCaw,72,#22,Toronto Raptors,G,10/25/95,6-7 / 2.01,181 lbs. / 82.1 kg.,"$4,000,000",4.00,USA,2016,2,38,UNLV
Rodney McGruder,72,#19,Los Angeles Clippers,G,07/29/91,6-4 / 1.93,205 lbs. / 93 kg.,"$4,807,693",4.81,USA,2013,Undrafted,Undrafted,Kansas State
Darius Miller,72,#21,New Orleans Pelicans,F,03/21/90,6-6 / 1.98,225 lbs. / 102.1 kg.,"$7,250,000",7.25,USA,2012,2,46,Kentucky
Raul Neto,72,#19,Philadelphia 76ers,G,05/19/92,6-1 / 1.85,170 lbs. / 77.1 kg.,"$1,737,145",1.74,Brazil,2013,2,47,
Georges Niang,72,#31,Utah Jazz,F,06/17/93,6-7 / 2.01,230 lbs. / 104.3 kg.,"$1,645,357",1.65,USA,2016,2,50,Iowa State
Cameron Payne,72,#0,Phoenix Suns,G,08/08/94,6-2 / 1.88,180 lbs. / 81.6 kg.,"$346,288",0.35,USA,2015,1,14,Murray State
Anfernee Simons,72,#1,Portland Trail Blazers,G,06/08/99,6-3 / 1.91,181 lbs. / 82.1 kg.,"$2,149,560",2.15,USA,2018,1,24,
Zhaire Smith,72,#8,Philadelphia 76ers,G-F,06/04/99,6-3 / 1.91,205 lbs. / 93 kg.,"$3,058,800",3.06,USA,2018,1,16,Texas Tech
Anthony Tolliver,72,#0,Memphis Grizzlies,F,06/01/85,6-8 / 2.03,240 lbs. / 108.9 kg.,"$2,854,556",2.85,USA,2007,Undrafted,Undrafted,Creighton
DJ Wilson,72,#5,Milwaukee Bucks,F,02/19/96,6-10 / 2.08,234 lbs. / 106.1 kg.,"$2,961,120",2.96,USA,2017,1,17,Michigan
Alfonzo McKinnie,72,#0,Cleveland Cavaliers,F,09/17/92,6-8 / 2.03,215 lbs. / 97.5 kg.,"$2,391,985",2.39,USA,2015,Undrafted,Undrafted,Green Bay
Romeo Langford,72,#45,Boston Celtics,G,10/25/99,6-4 / 1.93,216 lbs. / 98 kg.,"$3,458,400",3.46,USA,2019,1,14,Indiana
Grant Williams,72,#12,Boston Celtics,F,11/30/98,6-6 / 1.98,236 lbs. / 107 kg.,"$2,379,840",2.38,USA,2019,1,22,Tennessee
Nicolas Claxton,72,#0,Brooklyn Nets,C,04/17/90,6-11 / 2.11,215 lbs. / 97.5 kg.,"$898,310",0.90,USA,2019,2,31,Georgia
PJ Washington,72,#25,Charlotte Hornets,F,08/23/98,6-7 / 2.01,225 lbs. / 102.1 kg.,"$3,831,840",3.83,USA,2019,1,12,Kentucky
Ryan Arcidiacono,72,#51,Chicago Bulls,G,03/26/94,6-3 / 1.91,195 lbs. / 88.5 kg.,"$3,000,000",3.00,Italy,2016,Undrafted,Undrafted,Villanova
Kevin Porter,72,#4,Cleveland Cavaliers,G-F,05/04/00,6-4 / 1.93,218 lbs. / 98.9 kg.,"$1,290,960",1.29,USA,2019,1,30,USC
Ryan Broekhoff,72,#0,Philadelphia 76ers,F,08/23/90,6-6 / 1.98,215 lbs. / 97.5 kg.,"$2,833,704",2.83,Australia,2013,Undrafted,Undrafted,Valparaiso
Goga Bitadze,72,#88,Indiana Pacers,C,07/20/99,6-11 / 2.11,250 lbs. / 113.4 kg.,"$2,816,760",2.82,Georgia,2019,1,18,
De'Anthony Melton,72,#0,Memphis Grizzlies,G,05/28/98,6-2 / 1.88,190 lbs. / 86.2 kg.,"$1,416,852",1.42,USA,2018,2,46,USC
Kenrich Williams,72,#34,New Orleans Pelicans,G-F,12/02/94,6-6 / 1.98,210 lbs. / 95.3 kg.,"$1,416,852",1.42,USA,2018,Undrafted,Undrafted,TCU
Nickeil Alexander-Walker,72,#0,New Orleans Pelicans,G,09/02/98,6-5 / 1.96,205 lbs. / 93 kg.,"$2,964,840",2.96,Canada,2019,1,17,Virginia Tech
Chuma Okeke,72,#3,,F-C,08/18/98,6-8 / 2.03,230 lbs. / 104 kg.,"$2,773,550",2.77,USA,2019,1,16,Auburn
Matisse Thybulle,72,#22,Philadelphia 76ers,G-F,03/04/97,6-5 / 1.96,201 lbs. / 91.2 kg.,"$2,582,160",2.58,USA,2019,1,20,Washington
Cameron Johnson,72,#23,Phoenix Suns,F,03/03/96,6-8 / 2.03,210 lbs. / 95.3 kg.,"$4,033,440",4.03,USA,2019,1,11,North Carolina
Ty Jerome,72,#10,Phoenix Suns,G,07/08/97,6-5 / 1.96,195 lbs. / 88.5 kg.,"$2,193,480",2.19,USA,2019,1,24,Virginia
Luka Samanic,72,#19,San Antonio Spurs,F,01/09/00,6-10 / 2.08,209 lbs. / 94.8 kg.,"$2,689,920",2.69,Croatia,2019,1,19,
Keldon Johnson,72,#3,San Antonio Spurs,F,10/11/99,6-5 / 1.96,211 lbs. / 95.7 kg.,"$1,950,600",1.95,USA,2019,1,29,Kentucky
Matt Thomas,72,#21,Toronto Raptors,G,08/04/94,6-4 / 1.93,197 lbs. / 89.4 kg.,"$898,310",0.90,USA,2017,Undrafted,Undrafted,Iowa State
Chris Boucher,71,#25,Toronto Raptors,F-C,01/11/93,6-9 / 2.06,200 lbs. / 90.7 kg.,"$1,588,231",1.59,Canada,2017,Undrafted,Undrafted,Oregon
Jevon Carter,71,#4,Phoenix Suns,G,09/14/95,6-1 / 1.85,200 lbs. / 90.7 kg.,"$1,416,852",1.42,USA,2018,2,32,West Virginia
Deyonta Davis,71,#0,,F-C,12/02/96,6-10 / 2.08,240 lbs. / 108.9 kg.,"$250,000",0.25,USA,2016,2,31,Michigan State
Jacob Evans,71,#0,Minnesota Timberwolves,G,06/18/97,6-4 / 1.93,210 lbs. / 95.3 kg.,"$1,925,880",1.93,USA,2018,1,28,Cincinnati
Terrance Ferguson,71,#23,Oklahoma City Thunder,G,05/17/98,6-6 / 1.98,184 lbs. / 83.5 kg.,"$2,475,840",2.48,USA,2017,1,21,
Daniel Gafford,71,#12,Chicago Bulls,F,10/01/98,6-10 / 2.08,234 lbs. / 106.1 kg.,"$898,310",0.90,USA,2019,2,38,Arkansas
Treveon Graham,71,#12,Atlanta Hawks,G,10/28/93,6-5 / 1.96,219 lbs. / 99.3 kg.,"$1,645,357",1.65,USA,2015,Undrafted,Undrafted,VCU
Frank Jackson,71,#15,New Orleans Pelicans,G,05/04/98,6-3 / 1.91,205 lbs. / 93 kg.,"$1,618,520",1.62,USA,2017,2,31,Duke
Luke Kornet,71,#2,Chicago Bulls,C,07/15/95,7-2 / 2.18,240 lbs. / 108.9 kg.,"$2,250,000",2.25,USA,2017,Undrafted,Undrafted,Vanderbilt
Frank Mason,71,#15,Milwaukee Bucks,G,04/13/94,5-11 / 1.80,190 lbs. / 86.2 kg.,"$79,568",0.08,USA,2017,2,34,Kansas
Ben McLemore,71,#16,Houston Rockets,G,02/11/93,6-3 / 1.91,189 lbs. / 85.7 kg.,"$2,028,594",2.03,USA,2013,1,7,Kansas
Dzanan Musa,71,#13,Brooklyn Nets,F,05/08/99,6-9 / 2.06,195 lbs. / 88.5 kg.,"$1,911,600",1.91,Bosnia and Herzegovina,2018,1,29,
Elie Okobo,71,#2,Phoenix Suns,G,10/23/97,6-3 / 1.91,190 lbs. / 86.2 kg.,"$1,416,852",1.42,France,2018,2,31,
Jerome Robinson,71,#1,Washington Wizards,G,02/22/97,6-4 / 1.93,190 lbs. / 86.2 kg.,"$3,567,720",3.57,USA,2018,1,13,Boston College
JaKarr Sampson,71,#14,Indiana Pacers,F,03/20/93,6-7 / 2.01,223 lbs. / 101.2 kg.,"$1,737,145",1.74,USA,2014,Undrafted,Undrafted,St. John's
Edmond Sumner,71,#5,Indiana Pacers,G,12/13/95,6-4 / 1.93,186 lbs. / 84.4 kg.,"$2,000,000",2.00,USA,2017,2,52,Xavier
Gary Trent Jr,71,#2,Portland Trail Blazers,G,01/18/99,6-5 / 1.96,209 lbs. / 94.8 kg.,"$1,416,852",1.42,USA,2018,2,37,Duke
Moritz Wagner,71,#21,Washington Wizards,F,04/26/97,6-11 / 2.11,240 lbs. / 108.9 kg.,"$2,063,520",2.06,Germany,2018,1,25,Michigan
Admiral Schofield,71,#1,Washington Wizards,F,03/30/97,6-5 / 1.96,241 lbs. / 109.3 kg.,"$1,000,000",1.00,USA,2019,2,42,Tennessee
Bruno Fernando,71,#24,Atlanta Hawks,F,08/15/98,6-9 / 2.06,245 lbs. / 111.1 kg.,"$1,400,000",1.40,Angola,2019,2,34,Maryland
Alen Smailagic,71,#6,Golden State Warriors,F,08/18/00,6-10 / 2.08,215 lbs. / 97.5 kg.,"$898,310",0.90,Serbia,2019,2,39,
Eric Paschall,71,#7,Golden State Warriors,F,11/04/96,6-6 / 1.98,255 lbs. / 115.7 kg.,"$898,310",0.90,USA,2019,2,41,Villanova
Carsen Edwards,71,#4,Boston Celtics,G,03/12/98,5-11 / 1.80,200 lbs. / 90.7 kg.,"$1,228,026",1.23,USA,2019,2,33,Purdue
KZ Okpala,71,#4,Miami Heat,F,04/28/99,6-8 / 2.03,215 lbs. / 97.5 kg.,"$898,310",0.90,USA,2019,2,32,Stanford
Shake Milton,71,#18,Philadelphia 76ers,C,09/26/96,6-5 / 1.96,205 lbs. / 93 kg.,"$1,445,697",1.45,USA,2018,2,54,SMU
Chimezie Metu,71,#7,San Antonio Spurs,F,03/22/97,6-9 / 2.06,225 lbs. / 102.1 kg.,"$1,416,852",1.42,Nigeria,2018,2,49,USC
Keita Bates-Diop,70,#0,Denver Nuggets,F,01/23/96,6-8 / 2.03,235 lbs. / 106.6 kg.,"$1,416,852",1.42,USA,2018,2,48,Ohio State
Darius Bazley,70,#7,Oklahoma City Thunder,F,06/12/00,6-8 / 2.03,200 lbs. / 90.7 kg.,"$2,284,800",2.28,USA,2019,1,23,
Tony Bradley,70,#13,Utah Jazz,F-C,01/08/98,6-10 / 2.08,248 lbs. / 112.5 kg.,"$1,962,360",1.96,USA,2017,1,28,North Carolina
Hamidou Diallo,70,#6,Oklahoma City Thunder,G,07/31/98,6-5 / 1.96,198 lbs. / 89.8 kg.,"$1,416,852",1.42,USA,2018,2,45,Kentucky
Melvin Frazier,70,#35,Orlando Magic,F,08/30/96,6-5 / 1.96,201 lbs. / 91.2 kg.,"$1,416,852",1.42,USA,2018,2,35,Tulane
Solomon Hill,70,#44,Miami Heat,F,03/18/91,6-6 / 1.98,226 lbs. / 102.5 kg.,"$13,290,395",13.29,USA,2013,1,23,Arizona
Alize Johnson,70,#24,Indiana Pacers,F,04/26/96,6-7 / 2.01,201 lbs. / 91.2 kg.,"$1,416,852",1.42,USA,2018,2,50,Missouri State
Skal Labissiere,70,#0,Atlanta Hawks,C-F,03/18/96,6-10 / 2.08,216 lbs. / 98 kg.,"$2,338,846",2.34,Haiti,2016,1,28,Kentucky
Tyler Lydon,70,#0,,F-C,04/09/96,6-9 / 2.06,220 lbs. / 99.8 kg.,"$50,000",0.05,USA,2017,1,24,Syracuse
Sviatoslav Mykhailiuk,70,#19,Detroit Pistons,G,06/10/97,6-7 / 2.01,205 lbs. / 93 kg.,"$1,416,852",1.42,Ukraine,2018,2,47,Kansas
Johnathan Motley,70,#15,Los Angeles Clippers,F,05/04/95,6-8 / 2.03,230 lbs. / 104.3 kg.,"$79,568",0.08,USA,2017,Undrafted,Undrafted,Baylor
Abdel Nader,70,#11,Oklahoma City Thunder,F,09/25/93,6-5 / 1.96,225 lbs. / 102.1 kg.,"$1,618,520",1.62,Egypt,2016,2,58,Iowa State
Miles Plumlee,70,#0,,F-C,09/01/88,6-11 / 2.11,255 lbs. / 115.7 kg.,"$12,500,000",12.50,USA,2012,1,26,Duke
Caleb Swanigan,70,#50,Portland Trail Blazers,C,04/18/97,6-9 / 2.06,249 lbs. / 112.9 kg.,"$2,033,160",2.03,USA,2017,1,26,Purdue
Jarred Vanderbilt,70,#0,Minnesota Timberwolves,F,04/03/99,6-9 / 2.06,214 lbs. / 97.1 kg.,"$1,416,852",1.42,USA,2018,2,41,Kentucky
Jemerrio Jones,70,#0,,F,04/09/95,6-5 / 1.96,201 lbs. / 91.2 kg.,"$195,077",0.20,USA,2018,Undrafted,Undrafted,New Mexico State
Jordan Poole,70,#3,Golden State Warriors,G,06/19/99,6-4 / 1.93,194 lbs. / 88 kg.,"$1,964,760",1.96,USA,2019,1,28,Michigan
Talen Horton-Tucker,70,#5,Los Angeles Lakers,G,11/20/00,6-4 / 1.93,234 lbs. / 106.1 kg.,"$898,310",0.90,USA,2019,2,46,Iowa State
Yante Maten,70,#0,,F-C,08/14/96,6-8 / 2.03,240 lbs. / 108.9 kg.,"$100,000",0.10,USA,2018,Undrafted,Undrafted,Georgia
Thanasis Antetokounmpo,70,#43,Milwaukee Bucks,F,07/18/92,6-6 / 1.98,215 lbs. / 97.5 kg.,"$1,445,697",1.45,Greece,2014,2,51,
Naz Reid,70,#11,Minnesota Timberwolves,C,08/26/99,6-9 / 2.06,249 lbs. / 112.9 kg.,"$898,310",0.90,USA,2019,Undrafted,Undrafted,LSU
Ignas Brazdeikis,70,#17,New York Knicks,F,01/08/99,6-6 / 1.98,216 lbs. / 98 kg.,"$898,310",0.90,Canada,2019,2,47,Michigan
Deonte Burton,70,#30,Oklahoma City Thunder,G,06/26/91,6-4 / 1.93,240 lbs. / 108.9 kg.,"$1,416,852",1.42,USA,2014,Undrafted,Undrafted,Iowa State
Justin James,70,#10,Sacramento Kings,G,01/24/97,6-7 / 2.01,190 lbs. / 86.2 kg.,"$898,310",0.90,USA,2019,2,40,Wyoming
Henry Ellenson,69,#0,,F-C,01/13/97,6-10 / 2.08,242 lbs. / 109.8 kg.,"$79,568",0.08,USA,2016,1,18,Marquette
Devonte Graham,69,#0,Charlotte Hornets,G,02/22/95,6-1 / 1.85,185 lbs. / 83.9 kg.,"$1,416,852",1.42,USA,2018,2,34,Kansas
Amile Jefferson,69,#0,,F-C,05/07/93,6-9 / 2.06,224 lbs. / 101.6 kg.,"$1,529,007",1.53,USA,2017,Undrafted,Undrafted,Duke
Khyri Thomas,69,#13,Detroit Pistons,G,05/08/96,6-3 / 1.91,210 lbs. / 95.3 kg.,"$1,416,852",1.42,USA,2018,2,38,Creighton
Theo Pinson,69,#0,New York Knicks,G,11/05/95,6-5 / 1.96,220 lbs. / 99.8 kg.,"$1,445,697",1.45,USA,2018,Undrafted,Undrafted,North Carolina
Gary Clark,69,#0,Orlando Magic,F,11/16/94,6-6 / 1.98,225 lbs. / 102.1 kg.,"$1,427,191",1.43,USA,2018,Undrafted,Undrafted,Cincinnati
Terance Mann,69,#14,Los Angeles Clippers,G,10/18/96,6-5 / 1.96,215 lbs. / 97.5 kg.,"$1,000,000",1.00,USA,2019,2,48,Florida State
Cam Reynolds,69,#13,Milwaukee Bucks,G,02/07/95,6-7 / 2.01,225 lbs. / 102.1 kg.,"$79,568",0.08,USA,2018,Undrafted,Undrafted,Tulane
Tyrone Wallace,69,#0,,G-F,06/10/94,6-5 / 1.96,200 lbs. / 90.7 kg.,"$502,491",0.50,USA,2016,2,60,California
